일련번호,Title,연도,저자,구분,Topic,요약
11,2030 대담한 도전,2016,최윤식,경제/경영,기후 변화,"저자는 2016-2020년의 금융위기를 예측하고, 이를 기점으로 2030년이후까지 펼쳐질 대대적인 산업과 기술 환경의 변화에 주도적으로 대응할 것을 주문한다.먼저 5년내의 금융위기의 관점에서, 미국의 금리이상에 따라서 강달러가 도래했고, 이로 인해, 아시아 국가들이 통화가치절하와 외화 유출등으로 인해서 위기를 맞을 것이라고 한다.새로운 산업 준비 관점에서, 5년내에 미래를 위한 기틀을 마련해야 한다고하며, 5개 공간과 5개 제품군의 매트릭스를 제안한다.HW, SW, 플랫폼, 컨텐츠, 완제품이 그것이며, 로봇과 AI에 대해 강조하고 있다.이런 발전 도상에서 몇가지 중요한 한계 요인이 있으며, 이를 기회로 활용해야 한다. 환경 측면에서 물의 중요성이 대두될 것이며, 유전자 조작과 바이러스의 창궐에 의한 위기도 예상된다. 한편, 테러나 전쟁등도 디지털화에 따라 새로운 양상을 띨 것이다. 이것을 위기이자 기회로서 활용하는 지혜가 필요하다"
12,2030 축의 전환,2020,마우로기옌,역사/사회,경제적 변화,"저자는 인구통계학적인 거대한 변화와 함께 수반되는 2030 미래에 대한 전망을 8가지의 축으로 정리한다. 첫째 출산율의 감소. 이민으로 대응이 필요하며, 한편 아프리카가 최대 인구 대륙으로 등장. 다음으로 고령 세대에 대한 인식 전환. 기본보다 액티브한 노동, 소비의 주체로서 역할을 인식할 것. 셋째, 아시아 및 아프리카의 거대한 중산층의 탄생. 기존 서구 중산층만을 겨냥한 기업과 정책이 재고되어야 한다. 넷째, 여성의 사회 참여 및 경제 권력이 강화. 다섯째, 거대 도시의 인구 비율 급증. 자원의 고갈 및 환경 보호 관점에서 다양한 대안 검토 필요. 다음으로, 과학기술의 발전에 의해 인공지능 3D 프린터등으로 위의 문제를 해결해야 하며, 일곱째, 새롭게 대두되는 공유 경제관점에서, 우버등을 사례로 자원의 효율적 사용이 가능할 것. 마지막으로, 블록체인 기반 기술의 정보의 독점을 피하고, 투명한 정보 관리로 인해 기후 위기등에도 효과적인 수단이 될 수 있음. 이런 여러가지 축의 변화들을 수평적 사고를 통해서 능동적으로 헤쳐 나가야 한다"
13,2040 디바이디드,2020,조병학,역사/사회,미래 사회 변화,"경영학 기반의 저자가 기술 혁명에 의해 변화될 미래를 양극화 관점에서 서술한 책이다. 주요한 기술 혁명은 다음과 같다. 인공지능, 자동화/로봇, 3D 프린팅, IOT, 바이오 헬스케어, 핀테크, 블록체인, 자율주행, 재생에너지.모든 기술이 현재 급격한 변화를 이루고 있기 때문에, 조만간 (여기서는 2040년) 이 기술을 가진 개인/국가와 그렇지 않는 곳 사이에 초격차가 발생할 것이라고 한다.주요 격차 발생 영역은, 일자리, 자산, 제조업 공장, 에너지, 생명공학, 초지능, 정보(기업/국가 vs 개인)(개인감상) 중요한 기술분야도 맞고 격차들이 지속적으로 증가할 가능성도 크다. 하지만 모든 분야가 동일한 속도는 아니며, 실제로 인공지능(생성AI)를 제외하곤 초기보다 많이 감속된 분야들이 다수이다. 좀더 기술에 대한 장기적이고, 종합적인 이해를 바탕으로 트렌드를 해석할 필요가 있다"
14,30개 도시로 읽는 세계사,2020,조지무쇼,역사/사회,도시 역사,"글자 그대로 30개 도시가 병렬로 연결되어 요약이 어렵지만, 한번 대륙별로 구분해 보았다.중동/아프리카: 바빌론(고대 성서), 예루살렘(고난의 성지),  알렉산드리아(헬레니즘), 바그다드(이슬람 전성기), 튀니스(지중해 3000년), 이스파한(고원의 옛도시),  두바이(사막의 네오퓨처)유럽: 아테네(민주정), 로마(영원의 도시), 콘스탄티노플(유럽/아시아), 모스크바(대삼림 제3의 로마), 베네치아(지중해 무역), 상트페테르부르크(표트르 대체), 파리(프랑스 문화), 암스테르담(프로테스탄트 무역), 런던(19세기 세계중심), 빈(합스부르크)아메리카: 테오티우아칸(영원한 수수께끼), 뉴욕(초강국 미국), 리우데자네이루(열대 뉴타운)아시아: 장안(수많은 왕조), 교토(천년의 수도), 사마르칸트(실크로드 요충지), 앙코르(밀림속 사원), 베이징(중화 중심지), 믈라카(세계유산 항구도시), 델리(다문화 도시), 싱가포르(아시아 부국), 상하이(급성장 항만도시)오세아니아: 시드니(리아스 항만도시)"
15,3D프린터의 모든것,2013,허제,과학/기술,3D 프린팅,"3D 프린터의 기술 및 응용분야에 대한 설명과 함께, 새로운 제조업으로의 도전을 제안하고 있다.3D 프린터는 첨가형제조를 하는 Rapid Prototyping 기술로서, 디자인을 신속변경해서 Just In Time으로 출시할 수 있는 장점이 있다. CNC와 비교하면 삭제형이 아닌 첨가형 CNC라고 할 수 있다. 활용분야를 보면, 시제품 생산 목적이 주였으나, 항공엔진, 태양전지등 제조품, 생체조직, 심지어 건축도 3D 방식을 고려하고 있다.2013년 현재 3D 프린터는 렙랩(RepLab)을 시작으로 메이커봇등이 주요 업체이며, 2D 프린터의 강자인 휴렛팩커드로 유력한 주자이다. 이들은 DIY 및 오픈소스등의 새로운 경제 트렌드를 기반으로 일을 하고 있다.3D 프린터로 개인 제조업도 가능해졌지만, 크라우드 펀딩 및 소싱을 통한 소셜 제조업도 유망하다고 한다.실제 창업을 위한 다양한 조언도 있는데, 디자인툴과 3D 프린터를 저렴하게 구하고, 지적재산권에 주의하여야 한다."
16,4차산업혁명 전문직의 미래,2016,리처드 서스킨드,과학/기술,전문직 변화,"저자는 전문직이 기술에 의해 어떻게 변화할지를 전망한다. 단순한 효율성 개선이 아닌, 기술에 의해 대체되어 현재 의미의 전문직이 소멸할 것을 예상하는 것이 특징이다.전문직의  법률, 의료와 같이 일상에 영향력이 큰 전문 지식이 신뢰할만한 집단이 다루도록 하면서, 그들에게 독점권를 수여한 대타협에 기인한다. 하지만, 성능저하, 신뢰상실, 비용상승, 도덕성 저하등에 직면하여 새로운 사회적인 요청을 받고 있다.최근, 각 전문직은 디지털 의료, 온라인교육, 법무분업화등 새로운 시도가 이루어지는데,  종합적으로 보면, 전문가 업무가 규칙화되어서, 분해되어 멀티소싱되며, 기계가 그중에 하나의 대상이 된다.정보의 하부구조 변천은 전문직과 밀접한 영향을 갖는데, 인쇄 시대에 오늘날의 전문직의 필요성이 발생했으나, IT 시대로 오면서 이를 대체하는 기술의 능력이 향상되고 있다. 전문직의 본질은 지식의 공급 자체인데, 지식은 현재의 구두방식에서 표준화 및 시스템화를 거쳐, 외부에 이용가능한 형태로 전달되도록 진화하고 있다.전문직의 소멸에 대해, 신뢰도와 시장 규범에 의한 도덕 상실등의 우려점이 있으나, 실용적 전문성을 이용할 수요자의 관점으로의 전환이 필요하다. 하지만 이는 필연적으로 실업을 유발하므로 이에 대한 대책과, 개방된 지식을 어떻게 관리할지 (공유재?) 검토가 필요하다"
17,90년생이 온다,2018,임홍택,역사/사회,세대 차이,"밀레니얼세대인 90년대생의 특징을 알아보고, 이들에게 어떻게 대응해야 하는지 사회경제 각 분야 관점에서 논의한다.90년대생의 특징은, 간단한 것을 좋아하고, 재미있는 것을 추구하면서도, 솔직/정직한 것을 원한다.직장에서 이들은, 워라밸을 추구하는데,이는 그들이 현재의 만족을 중요시하기 때문이다. 따라서 이들을 관리하기 위해서는 구시대적으로 잔업을 강요하지 말고, 일에서 의미와 흥미를 찾을 수 있도록 업무를 부여해야 한다.소비자로서의 90년대생은, 빠른 정보 습득 능력에 의해, 가격/품질등에서 소비자를 기만하는 기업을 쉽게 나락으로 빠뜨릴 수 있다. 기본적으로 정직한 제품과 서비스를 제공하되, 간결하고 재미까지 갖춘 상품이라면 먹힐 수 있다."
18,1%가 아닌 99%를 위한 경제,2021,폴 애들러,역사/사회,민주사회주의,"저자는 현대 사회의 문제를 해결하기 위해 민주사회주의를 제안한다. 해결해야 할 문제는, 경제적 불합리, 노동자의 소외, 정부의 무능력, 환경 문제, 사회 분열, 국제 갈등이다. 이를 해결하기 위한 윤리적 자본주의, 규제적 자본주의, 사회민주주의, 테크노 유토피아주의가 대두되지만, 모두 위의 6가지 근본 문제를 해결하기 못한다고 한다.이를 해결할 수 있는 것은 민주사회주의이다. 지역/국가/세계 단위로 중앙집권적으로 근본 문제 해결을 위한 전략을 세우고, 혁신하고, 학습하고, 일하는 것이다. 기존 대기업중 고차원 기업(권력을 이양한)에서 사례를 끌어온다. 저자는 현재 기술의 발전에 의해, 실현가능한 기회가 있고, 문제의 심각성은 동기를 더욱 강하게 하고 있기 때문에, 어렵지만 실현 가능하다고 주장하고 있다"
19,AI지도책,2022,케이트 크로퍼드,과학/기술,인공지능 윤리,"인공지능 산업이 전지구적으로 주는 부정적인 영향을, 정치,경제,사회적 관점에서 분석하고 있다.우선 AI산업에 쓰이는 원료들중 일부는 광산 채굴을 통해서 일어난다. 배터리의 리튬과 전극의 금이 그 예로서, 이를 통해 환경파괴 및 노동착취가 광범위하게 일어나고 있다. 19세기 분업화 대량생산 체제는, 현대의 AI를 통한 더욱 철저한 시간관리로 이어졌고, 이는 아마존의 물류창고에서 확인할 수 있다. 또한 인공지능 개발을 위해 많은 저임금 임시 노동자들이 데이터처리등을 하고 있으며 아마존의 AMT(mechanical turk)에서 확인할 수 있다.AI에 필수적인 데이터는 이미지넷이라는 공개된 거대한 이미지집합에서 알 수 있듯이, 사용자 동의없이 취합된 데이터가 사용되고 있어, 다수의 희생을 발판으로 소수의 AI 개발업체에 수익이 돌아간다. 또한, 데이터의 수집과 분류, 활용에서 인종차별등 인권이 광범위하게 침해되고 있다. 몇가지 얼굴 표정 타입에 의해 정서를 판단하는 편협한 기준은 맥락과 배경없이 차별적인 정치적 판단으로 이어진다.국가는 이 모든 과정에서 감시를 더 체계화하고 교묘하게 하는데 이익을 얻을 수 있다. 따라서 기존 권력구조를 옹호하는 이런 시도에 대해 정의를 위해 다양한 관계자들이 연대하여 문제를 제기하는 행동을 해야 한다"
20,E=mc2,2014,데이비드 보더니스,과학/기술,상대성 이론,"아인슈타인의 특수 상대성 이론의 핵심 방정식인 E=mc2에 대해서 가장 쉽게, 그리고 포괄적으로 설명한 책이다. 이 방정식은 1905년 아인슈타인이 베른특허청에 근무하면서, 제출한 논문의 일부분으로서 역사상 처음 등장하게 된다. 이 방정식의 탄생 이전에, 전자기파의 패러데이, 질량의 라부아지에가 별도였지만, 아인슈타인이 이 2가지 세계가 광속c로 연결된다는 것을 발견한다. 빛은 전기/자기가 서로 타고넘은 특이한 파동이기에 어떤 물체도 광속을 넘지 못하고, 에너지를 가할수록 질량이 무거워지고, 길이는 짤고 시간은 느려진다. 이 방정식은 세계대전으로 인해 생각보다 보통사람의 인식에 더 일찍 등장하게되는데, 퀴리부인의 방사성 물질이  원자폭탄의 발견으로 이어진다. 핵심은 느린 중성자가 원자핵의 강력을 이기고 붕괴시키면서 미량의 질량이 무지막대한 에너지로 전환된다는 것이다. 미국은 느린 중성자를 구현할 중수를 먼저 발견한 독일을 제치고, 결국 인류역사상 최초의 원자폭탄을 일본에 투하하게 된다. "
21,GPT 제너레이션,2023,이시한,과학/기술,인공지능,"2023년 기준으로 생성AI가 가져올 변화상에 대해서 설명하고 있다.ChatGPT의 등장은 구글의 검색 서비스뿐 아니라, 모든 IT서비스에 API로 기능함으로써 완전히 새로운 거대 플랫폼으로서의 파괴력을 가지고 있다. 생성 AI는 과제를 대신할 뿐아니라 자기소개서, 직장인의 기획서등의 문서에 활용성이 크며, 작가나 마케팅 부서, 개발자 업무에도 이용 가능성이 상당하다.이로 인해 라이프 스타일의 변화도 기대되는데, 커머스나 메타버스, 맞춤형 교육, 출판과 미디어에도 혁신적인 변화를 유발할 것이다.반면, 일자리 대체와 양극화, 할루시네이션과 저작권, 빅브라더가 될지도 모른다는 불안감등의 부정적인 면들도 우려가 되고 있다.하지만, 생성AI가 가지지 못한, 인간의 기획능력과 설득력, 공감능력을 활용하고, AI의 결과를 그대로 수용하는 것이 아니라, 재조정하고 서로 연결하는 능력을 발휘한다면, 인간 사회의 발전에 긍정적으로 기여할 것이 기대된다"
22,GTX시대 돈이 지나가는 길,2020,박희용,경제/경영,부동산 투자,"철도망을 중심으로 부동산 투자의 노하우를 설명한다. 먼저 평범한 서민으로서는, 서울이외의 수도권에 전세가율이 높은 지역이 투자처로 유망하나, 교통수단, 특히 이용도가 높은 철도망에 기반해서 역세권 위주로 투자해야 한다.도시철도에서는, 5호선 하남연장, 8호선 별내연장, 4호선 진접연장, 7호선 양주연장이 좋으나, 기존에 교통망이 없거나, 강남과 직결되어 개선효과가 큰 지역을 위주로 고려하자.GTX는, 적은 역수에 표정속도가 높기 때문에, 서울에서 먼 지역에도 큰 영향을 줄 수 있다. GTX-A는 운정,동탄,신수원선,대곡이 유망. GTX-B는 투자금액이 적고, 호평,마석,인전시청 지역이 유망. GTX-C는 강남접근성이 획기적으로 개선되는 의정부,양주 덕정이 유망.추가적으로는, 역세권 500m, 500세대 이상을 투자하는 것이 바람직하다"
23,MIT 스타트업 바이블,2014,빌올렛,경제/경영,창업,"MIT의 스타트업을 위한 교육으로, 창업의 필수 요소를 설명하고 있다.고객을 파악하고, 고객에게 제공할 가치, 제품 구매 과정, 수익 창출 전략, 제품의 기획 과정, 사업 확장 방법등 총 6가지의 범주로 과정을 구분하고 있다.먼저 시장을 세분화한후 거점시장을 선택하고, 이에 맞는 고객의 페르소나를 정확하게 정의해야 한다. 이때부터 실제 고객을 만나서 그들의 요구화 피드백을 받는 과정은 앞으로도 지속되어야 할 가장 중요한 요소이다.다음으로, 제품의 가치와 자신의 핵심 역량(경쟁력)을 명확히 하자. 고객이 구매하는 과정이 실제로 어떻게 되는지 정밀하게 이해해야 한다. 주된 영향 인자와 방해 요인까지 명확해야, 수익성 계산 단계로 넘어갈 수 있다. 돈을 지불하는 실고객이 생기기 전까지는 제대로 된 사업이 아니다!수익창출로직을 설정하는 과정은 더없이 중요하다. 비즈니스 모델(고객에게 돈을 받는 형태)을 선택하고, 비용을 제외한 이익을 정확하게 계산한후, 고객 생애 가치와 신규 유치 비용을 비교하라.마지막으로, 이 모든 설계가 실제로 들어맞는지 확인해야 한다. MVP 상품을 실제로 판매해서, 그동안의 핵심 가설이 들어맞는지 확인하라"
25,가끔은 겪하게 외로워야 한다,2015,김정운,인문/자기계발,외로움과 정체성,"현대 사회가 수명의 증가에 따라 개인주의가 부상하고, 고독이라는 부작용이 수반되고 있다.특히, 고령층 그리고 중년남성의 고독으로 인한 죽음등이 사회적인 문제로 대두되고 있다. 저자는 이를 사회적 상호관계와 권력 구조의 관점에서, 퇴직등으로 인해 사회적 권력을 상실하고 정체성의 혼란을 겪고 있는  현상의 결과로 인식하고 있다.이를 해결하기 위해서는, 사람들간의 소통을 좀더 독려하고, 편하게 대화할 수 있는 사회적 공간을 확충해 나갈 필요가 있다."
26,가짜 노동,2022,데니스 뇌르마르크,역사/사회,현대 노동,"매우 도발적인 책이다. 20세기초 러셀, 케인즈, 로이드 라이트가 예언한 노동이 필요없는 시대가 왜 도래하지 않는가에 대한 논의이다. 현대의 많은 화이트칼라의 사무직, 경영직 노동이 실제로는 빈둥거리거나, 불필요한 일로 채워져 있다고 본다. 업무의 여러 문제점을 해결하려고 하는 대책들이 다시 새로운 일이 되어 끝없이 중첩되고 있다. 다른 회사가 끊임없이 벤치마킹하며 새로운 일을 더하고, 있지도 않은 리더십 신화에 직원들을 극한으로 몰아넣고 마지막 1%를 짜내기 위해 2배3배로 리소스를 추가 투입한다.불필요한 일로 가득 채워진 시간에 대한 절대적인 믿음으로 노동시간만이 가치를 인정받는 유일한 수단이 되어, 사람들은 계속해서 가짜노동을 한다.노동에 대한 본질이 남에게 인정받기 위한 것이라는 관점에서 쉽게 노동시간을 줄일순 없을거라고 한다. 하지만, 불필요한 일을 줄이고, 시간이 남으면 휴식하고, 또는 정말 중요한일에 헌신해 보자. 일 말고 우리가 할 수 있는 무엇인가를 찾아 나서 보자"
27,가치있는 아파트 만들기,2017,정헌목,경제/경영,아파트 공동체,"저자는 기존 인류학적 연구가 특수집단에 치우쳐 있다고 보며, 주류 문화인 아파트 대단지의 문화에 대한 인류학적 연구를 수행한다.먼저 한국에서 아파트는 70년대 정부의 현대식 생활 도입의지로 인해 점점 사람들의 관심이 높아졌고, 80년대에 대중의 불만을 아파트로 대변되는 중산층의 자산 증식으로 해소하는 과정에서 주류로 부상한다.연구 대상인 성일 노블하이츠는 서울인접도시의 재건축 단지이다. 단지 입주민들은 재건축 시기에는 아파트를 주로 투자 가치의 상승의 관점에서 바라본다. 이 과정에서 재건축 조합의 비리를 감시하기 위한 입주자협의회 등을 통해, 주민들의 아이덴티티가 드러난다.하지만 입주후에는 경기침체기와 더불어, 투자가치보다는 편안하고 살기좋은 아파트라는 가치에 주목하게 되지만, 공동체 운영활동에 대한 대중의 무관심이 한국의 아파트문화의 상징이 된다.때로는 어린이사망사고와 같은 계기로 인해, 주민의 관심이 높아지기도 했으나, 일시적일 뿐이었고, 아파트 공동체에 대한 고민이 계속 필요하다"
